V1,V2
Advertencia,No volei de praia quando o juiz mostrar o cartao amarelo significa uma
Rotacional,No volei de praia quando o juiz faz um movimento circular com o dedo indicador isso sinaliza uma falta
Boleiros,Sao pessoas cujo trabalho e manter o fluxo do jogo rolando a bola para o sacador entre os rallies
Intervalo,e o tempo entre os sets
Advertencia,No volei de praia quando o juiz mostrar o cartao amarelo significa uma
Rotacional,No volei de praia quando o juiz faz um movimento circular com o dedo indicador isso sinaliza uma falta
Boleiros,Sao pessoas cujo trabalho e manter o fluxo do jogo rolando a bola para o sacador entre os rallies
Set,A cada 25 pontos no volei de praia e um
Palma,E considerada invasao de rede quando o jogador colocar a     da mao sobre a rede voltada para baixo
Autorizacao,Ao juiz mover a mao em direcao ao saque significa uma
Ponto,Quando a bola toca ao chao do lado adversario a equipe marca um
Arbitro,"Ele ou ela confere durante a partida que as bolas ainda se encontram
nos padroes regulamentares"
Seis,O volei de quadra e formado por duas equipes com      jogadores
Saque,A bola podera ser tocada tres vezes apos o
Equipe,No volei de quadra seis jogadores formam uma 
Posicao,"Cada jogador tem uma     dentro da quadra a qual apresenta uma ordem de rotacao
"
Falta,Quando o jogador toca duas vezes consecutivas a bola e uma 
Levantamento,Um dos fundamentos do volei e o
Zona de saque,O local onde o jogador sacador permanece para lancar a bola e chamada de 
Recepcao,Os jogares recebem o saque atras do movimento da
Levantadores,Sao jogares que levantam a bola com as pontas dos dedos
Bloqueio,Sao utilizados pela equipe para se defender contra os ataques adversarios
